Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
5-20-24,0,1,74.22,Replete,1
5-20-24,0,2,88.61,Replete,1
5-20-24,0,3,71.52,Replete,1
5-22-24,1,1,74.46,Replete,1
5-22-24,1,2,88.52,Replete,1
5-22-24,1,3,81.56,Replete,1
5-24-24,2,1,72.36,Replete,1
5-24-24,2,2,74.27,Replete,1
5-24-24,2,3,77.65,Replete,1
5-26-24,3,1,75.47,Replete,1
5-26-24,3,2,146.37,Replete,1
5-26-24,3,3,60.86,Replete,1
5-28-24,4,1,62.86,Replete,1
5-28-24,4,2,72.45,Replete,1
5-28-24,4,3,61.53,Replete,1
5-30-24,5,1,100.88,Replete,1
5-30-24,5,2,68.65,Replete,1
5-30-24,5,3,64.98,Replete,1
6-1-24,6,1,99.9,Replete,1
6-1-24,6,2,56.28,Replete,1
6-1-24,6,3,72.15,Replete,1
6-3-24,7,1,112.31,Replete,1
6-3-24,7,2,74.07,Replete,1
6-3-24,7,3,94.53,Replete,1
6-5-24,8,1,102.59,Replete,1
6-5-24,8,2,64.87,Replete,1
6-5-24,8,3,71.85,Replete,1
6-7-24,9,1,180.09,Replete,1
6-7-24,9,2,69.97,Replete,1
6-7-24,9,3,122.32,Replete,1
6-9-24,10,1,189.76,Replete,1
6-9-24,10,2,122.24,Replete,1
6-9-24,10,3,80.56,Replete,1
6-11-24,11,1,372.7,Replete,1
6-11-24,11,2,90.47,Replete,1
6-11-24,11,3,65.73,Replete,1
6-13-24,12,1,379.31,Replete,1
6-13-24,12,2,149.05,Replete,1
6-13-24,12,3,76.34,Replete,1
6-15-24,13,1,610.58,Replete,1
6-15-24,13,2,195.4,Replete,1
6-15-24,13,3,84.4,Replete,1
6-17-24,14,1,1076.06,Replete,1
6-17-24,14,2,304.44,Replete,1
6-17-24,14,3,219.38,Replete,1
6-19-24,15,1,1243.34,Replete,1
6-19-24,15,2,270.21,Replete,1
6-19-24,15,3,110.13,Replete,1
6-21-24,16,1,1344.15,Replete,1
6-21-24,16,2,575.18,Replete,1
6-21-24,16,3,210.84,Replete,1
