Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
7-3-24,T0,1,211.13,Replete,1
7-3-24,T0,2,101.61,Replete,1
7-3-24,T0,3,328.76,Replete,1
7-5-24,T1,1,129.49,Replete,1
7-5-24,T1,2,191.08,Replete,1
7-5-24,T1,3,66.26,Replete,1
7-7-24,T2,1,127.48,Replete,1
7-7-24,T2,2,278.57,Replete,1
7-7-24,T2,3,320.84,Replete,1
7-9-24,T3,1,417.71,Replete,1
7-9-24,T3,2,229.3,Replete,1
7-9-24,T3,3,170.13,Replete,1
7-11-24,T4,1,258.35,Replete,1
7-11-24,T4,2,234.93,Replete,1
7-11-24,T4,3,336.14,Replete,1
7-13-24,T5,1,533.25,Replete,1
7-13-24,T5,2,418.74,Replete,1
7-13-24,T5,3,410.75,Replete,1
7-15-24,T6,1,552,Replete,1
7-15-24,T6,2,329.94,Replete,1
7-15-24,T6,3,570.43,Replete,1
7-17-24,T7,1,824.5,Replete,1
7-17-24,T7,2,626.01,Replete,1
7-17-24,T7,3,579.17,Replete,1
7-19-24,T8,1,1417.45,Replete,1
7-19-24,T8,2,913.58,Replete,1
7-19-24,T8,3,1055.79,Replete,1
7-21-24,T9,1,1666.83,Replete,1
7-21-24,T9,2,1636.8,Replete,1
7-21-24,T9,3,1778.9,Replete,1
7-23-24,T10,1,2211.8,Replete,1
7-23-24,T10,2,2503.35,Replete,1
7-23-24,T10,3,2029.79,Replete,1
7-25-24,T11,1,2495.6,Replete,1
7-25-24,T11,2,3522.17,Replete,1
7-25-24,T11,3,2568.98,Replete,1
7-27-24,T12,1,3247.95,Replete,1
7-27-24,T12,2,3941.48,Replete,1
7-27-24,T12,3,3318.1,Replete,1
7-3-24,T0,1,263.5,-Biotin,1
7-3-24,T0,2,92.47,-Biotin,1
7-3-24,T0,3,81.88,-Biotin,1
7-5-24,T1,1,119.11,-Biotin,1
7-5-24,T1,2,140.45,-Biotin,1
7-5-24,T1,3,90.38,-Biotin,1
7-7-24,T2,1,178.39,-Biotin,1
7-7-24,T2,2,268.95,-Biotin,1
7-7-24,T2,3,163.12,-Biotin,1
7-9-24,T3,1,298.06,-Biotin,1
7-9-24,T3,2,420.33,-Biotin,1
7-9-24,T3,3,209.72,-Biotin,1
7-11-24,T4,1,566.69,-Biotin,1
7-11-24,T4,2,326.57,-Biotin,1
7-11-24,T4,3,277.01,-Biotin,1
7-13-24,T5,1,733.66,-Biotin,1
7-13-24,T5,2,517.54,-Biotin,1
7-13-24,T5,3,503.44,-Biotin,1
7-15-24,T6,1,635.57,-Biotin,1
7-15-24,T6,2,846.17,-Biotin,1
7-15-24,T6,3,418.28,-Biotin,1
7-17-24,T7,1,1585.16,-Biotin,1
7-17-24,T7,2,1140.95,-Biotin,1
7-17-24,T7,3,586.69,-Biotin,1
7-19-24,T8,1,2476.13,-Biotin,1
7-19-24,T8,2,1763.5,-Biotin,1
7-19-24,T8,3,955.09,-Biotin,1
7-21-24,T9,1,3523.2,-Biotin,1
7-21-24,T9,2,3104.3,-Biotin,1
7-21-24,T9,3,1846.83,-Biotin,1
