Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
11-13-24,T0,1,286,369pM,1
11-13-24,T0,2,321.18,369pM,1
11-13-24,T0,3,106.96,369pM,1
11-13-24,T0,1,330.46,36pM,1
11-13-24,T0,2,205.58,36pM,1
11-13-24,T0,3,104.26,36pM,1
11-13-24,T0,1,142.16,3.69pM,1
11-13-24,T0,2,245.55,3.69pM,1
11-13-24,T0,3,271.24,3.69pM,1
11-13-24,T0,1,248.73,0.369pM,1
11-13-24,T0,2,375.27,0.369pM,1
11-13-24,T0,3,182.06,0.369pM,1
11-13-24,T0,1,145.02,0.0369pM,1
11-13-24,T0,2,197.95,0.0369pM,1
11-13-24,T0,3,97.44,0.0369pM,1
11-15-24,T1,1,201.01,369pM,1
11-15-24,T1,2,197.96,369pM,1
11-15-24,T1,3,75.3,369pM,1
11-15-24,T1,1,109.09,36pM,1
11-15-24,T1,2,124.11,36pM,1
11-15-24,T1,3,207.85,36pM,1
11-15-24,T1,1,105.07,3.69pM,1
11-15-24,T1,2,314.95,3.69pM,1
11-15-24,T1,3,86.18,3.69pM,1
11-15-24,T1,1,322.74,0.369pM,1
11-15-24,T1,2,118.84,0.369pM,1
11-15-24,T1,3,63.18,0.369pM,1
11-15-24,T1,1,154.42,0.0369pM,1
11-15-24,T1,2,186.13,0.0369pM,1
11-15-24,T1,3,189.79,0.0369pM,1
11-17-24,T2,1,290.31,369pM,1
11-17-24,T2,2,337.15,369pM,1
11-17-24,T2,3,154.08,369pM,1
11-17-24,T2,1,261.91,36pM,1
11-17-24,T2,2,527.17,36pM,1
11-17-24,T2,3,351.28,36pM,1
11-17-24,T2,1,260.94,3.69pM,1
11-17-24,T2,2,523.27,3.69pM,1
11-17-24,T2,3,203.26,3.69pM,1
11-17-24,T2,1,275.99,0.369pM,1
11-17-24,T2,2,231.69,0.369pM,1
11-17-24,T2,3,548.44,0.369pM,1
11-17-24,T2,1,306.55,0.0369pM,1
11-17-24,T2,2,104.28,0.0369pM,1
11-17-24,T2,3,124.93,0.0369pM,1
11-19-24,T3,1,229.66,369pM,1
11-19-24,T3,2,234.23,369pM,1
11-19-24,T3,3,565.26,369pM,1
11-19-24,T3,1,468.7,36pM,1
11-19-24,T3,2,154.77,36pM,1
11-19-24,T3,3,368.25,36pM,1
11-19-24,T3,1,355.16,3.69pM,1
11-19-24,T3,2,700.55,3.69pM,1
11-19-24,T3,3,391.75,3.69pM,1
11-19-24,T3,1,231.6,0.369pM,1
11-19-24,T3,2,549.26,0.369pM,1
11-19-24,T3,3,291.65,0.369pM,1
11-19-24,T3,1,250.92,0.0369pM,1
11-19-24,T3,2,189.84,0.0369pM,1
11-19-24,T3,3,418.56,0.0369pM,1
11-21-24,T4,1,1035.71,369pM,1
11-21-24,T4,2,493.17,369pM,1
11-21-24,T4,3,487.81,369pM,1
11-21-24,T4,1,705.81,36pM,1
11-21-24,T4,2,334.89,36pM,1
11-21-24,T4,3,650.51,36pM,1
11-21-24,T4,1,1008.84,3.69pM,1
11-21-24,T4,2,1425.59,3.69pM,1
11-21-24,T4,3,694.44,3.69pM,1
11-21-24,T4,1,844.4,0.369pM,1
11-21-24,T4,2,731.13,0.369pM,1
11-21-24,T4,3,1002.02,0.369pM,1
11-21-24,T4,1,609.03,0.0369pM,1
11-21-24,T4,2,532.04,0.0369pM,1
11-21-24,T4,3,523.07,0.0369pM,1
11-23-24,T5,1,1382.68,369pM,1
11-23-24,T5,2,1142.42,369pM,1
11-23-24,T5,3,778.35,369pM,1
11-23-24,T5,1,1359.84,36pM,1
11-23-24,T5,2,1402.72,36pM,1
11-23-24,T5,3,740.65,36pM,1
11-23-24,T5,1,1363.2,3.69pM,1
11-23-24,T5,2,878.95,3.69pM,1
11-23-24,T5,3,1000.78,3.69pM,1
11-23-24,T5,1,1002.43,0.369pM,1
11-23-24,T5,2,1896.75,0.369pM,1
11-23-24,T5,3,1172.75,0.369pM,1
11-23-24,T5,1,842.03,0.0369pM,1
11-23-24,T5,2,434.01,0.0369pM,1
11-23-24,T5,3,448.47,0.0369pM,1
11-25-24,T6,1,2456.53,369pM,1
