Date,Time,Day,Rep,Chlorophyll-A (RFU),Treatment,Round
1-15-24,T0,0,1,66.01,Replete,1
1-15-24,T0,0,2,87.82,Replete,1
1-15-24,T0,0,3,94.03,Replete,1
1-17-24,T1,2,1,63.89,Replete,1
1-17-24,T1,2,2,73.68,Replete,1
1-17-24,T1,2,3,140.42,Replete,1
1-19-24,T2,4,1,60.15,Replete,1
1-19-24,T2,4,2,57.29,Replete,1
1-19-24,T2,4,3,91.11,Replete,1
1-21-24,T3,6,1,190.94,Replete,1
1-21-24,T3,6,2,112.33,Replete,1
1-21-24,T3,6,3,103.88,Replete,1
1-23-24,T4,8,1,119.04,Replete,1
1-23-24,T4,8,2,125.32,Replete,1
1-23-24,T4,8,3,161.51,Replete,1
1-25-24,T5,10,1,265.46,Replete,1
1-25-24,T5,10,2,218.91,Replete,1
1-25-24,T5,10,3,246.84,Replete,1
1-27-24,T6,12,1,434.18,Replete,1
1-27-24,T6,12,2,300,Replete,1
1-27-24,T6,12,3,472.73,Replete,1
1-29-24,T7,14,1,540.82,Replete,1
1-29-24,T7,14,2,417.45,Replete,1
1-29-24,T7,14,3,380.37,Replete,1
1-31-24,T8,16,1,811.55,Replete,1
1-31-24,T8,16,2,836.06,Replete,1
1-31-24,T8,16,3,953.72,Replete,1
2-2-24,T9,18,1,1454.94,Replete,1
2-2-24,T9,18,2,1426.97,Replete,1
2-2-24,T9,18,3,1661.41,Replete,1
2-4-24,T10,20,1,1743.57,Replete,1
2-4-24,T10,20,2,1729.18,Replete,1
2-4-24,T10,20,3,2185.78,Replete,1
2-6-24,T11,22,1,2522.78,Replete,1
2-6-24,T11,22,2,2457.87,Replete,1
2-6-24,T11,22,3,2564.53,Replete,1
2-8-24,T12,24,1,1557.91,Replete,1
2-8-24,T12,24,2,2483.52,Replete,1
2-8-24,T12,24,3,2321.56,Replete,1
2-10-24,T13,26,1,1994.14,Replete,1
2-10-24,T13,26,2,3463.39,Replete,1
2-10-24,T13,26,3,2913.28,Replete,1
2-12-24,T14,28,1,2496.97,Replete,1
2-12-24,T14,28,2,3002.45,Replete,1
2-12-24,T14,28,3,2106.25,Replete,1
2-14-24,T15,30,1,2593.05,Replete,1
2-14-24,T15,30,2,2726.46,Replete,1
2-14-24,T15,30,3,1870.93,Replete,1
2-16-24,T16,32,1,2428.6,Replete,1
2-16-24,T16,32,2,2063.8,Replete,1
2-16-24,T16,32,3,1653.54,Replete,1
1-15-24,T0,0,1,33.75,-Biotin,1
1-15-24,T0,0,2,33.46,-Biotin,1
1-15-24,T0,0,3,49.69,-Biotin,1
1-17-24,T1,2,1,42.13,-Biotin,1
1-17-24,T1,2,2,75.97,-Biotin,1
1-17-24,T1,2,3,68.67,-Biotin,1
1-19-24,T2,4,1,129.65,-Biotin,1
1-19-24,T2,4,2,125.38,-Biotin,1
1-19-24,T2,4,3,126.07,-Biotin,1
1-21-24,T3,6,1,188.91,-Biotin,1
1-21-24,T3,6,2,188.46,-Biotin,1
1-21-24,T3,6,3,153.48,-Biotin,1
1-23-24,T4,8,1,236.35,-Biotin,1
1-23-24,T4,8,2,220.42,-Biotin,1
1-23-24,T4,8,3,252.98,-Biotin,1
1-25-24,T5,10,1,241.11,-Biotin,1
1-25-24,T5,10,2,325.32,-Biotin,1
1-25-24,T5,10,3,184.01,-Biotin,1
1-27-24,T6,12,1,415.26,-Biotin,1
1-27-24,T6,12,2,594.61,-Biotin,1
1-27-24,T6,12,3,258.5,-Biotin,1
1-29-24,T7,14,1,688.51,-Biotin,1
1-29-24,T7,14,2,567.08,-Biotin,1
1-29-24,T7,14,3,412.75,-Biotin,1
1-31-24,T8,16,1,855.88,-Biotin,1
1-31-24,T8,16,2,1411.54,-Biotin,1
1-31-24,T8,16,3,785.95,-Biotin,1
2-2-24,T9,18,1,1236,-Biotin,1
2-2-24,T9,18,2,1842.95,-Biotin,1
2-2-24,T9,18,3,1410.25,-Biotin,1
2-4-24,T10,20,1,1834.22,-Biotin,1
2-4-24,T10,20,2,1520.89,-Biotin,1
2-4-24,T10,20,3,1913.89,-Biotin,1
2-6-24,T11,22,1,2439.3,-Biotin,1
2-6-24,T11,22,2,2410.14,-Biotin,1
2-6-24,T11,22,3,3341.05,-Biotin,1
2-8-24,T12,24,1,2889.54,-Biotin,1
2-8-24,T12,24,2,2180.53,-Biotin,1
2-8-24,T12,24,3,5867.36,-Biotin,1
2-10-24,T13,26,1,2911.11,-Biotin,1
2-10-24,T13,26,2,2630.83,-Biotin,1
2-10-24,T13,26,3,6238.65,-Biotin,1
